x,y,z
21,15,18
14,6,3
21,7,14
19,7,21
6,3,8
5,18,19
8,14,10
28,5,18
23,16,11
18,8,17
24,12,9
18,0,13
5,15,13
18,11,22
5,7,9
12,8,20
8,15,11
6,15,18
8,7,7
4,14,17
16,17,10
14,17,17
8,18,16
14,9,13
20,13,5
5,8,10
7,11,8
5,11,15
23,11,17
4,15,18
16,18,11
24,15,19
16,10,7
14,10,14
8,11,13
14,2,10
23,8,11
8,10,17
7,12,9
25,12,11
7,4,5
5,4,12
16,11,8
10,19,14
16,3,4
20,14,5
16,14,13
14,6,16
8,3,14
23,12,17
10,8,4
14,13,24
8,14,23
14,5,20
23,4,13
25,16,17
27,8,12
7,15,19
9,7,8
27,7,16
19,10,8
16,6,14
8,7,20
10,20,14
10,12,10
16,9,19
10,4,6
26,12,19
9,8,9
26,4,15
25,8,18
19,3,5
18,18,16
21,14,7
29,11,15
19,14,14
10,15,21
19,6,10
16,10,20
10,5,7
16,2,16
18,15,10
12,16,9
18,7,6
3,9,12
18,19,17
21,15,8
25,0,13
27,4,19
12,19,20
12,11,16
26,5,15
10,11,23
18,8,7
21,17,17
3,10,13
25,1,14
19,9,20
18,11,12
12,8,10
10,8,17
28,8,19
12,20,21
22,14,15
2,14,14
14,17,7
21,18,18
18,14,23
21,10,14
19,10,21
21,2,10
19,2,17
6,17,17
12,12,16
18,3,13
22,15,16
12,4,12
10,4,19
14,10,4
21,11,15
21,3,11
7,14,9
21,14,20
5,14,16
8,10,7
6,10,14
14,20,17
18,7,19
4,10,14
6,3,11
14,13,14
16,5,3
8,14,13
14,5,10
16,13,7
21,6,21
16,16,12
14,16,19
7,15,9
25,15,11
5,15,16
7,7,5
23,15,18
5,7,12
12,8,23
23,7,14
16,6,4
4,14,20
16,17,13
7,18,20
14,17,20
16,9,9
14,9,16
30,5,18
8,6,14
8,17,23
8,9,19
27,11,12
10,15,11
23,11,20
10,7,7
10,18,16
16,2,6
23,8,14
7,14,22
8,10,20
16,12,19
16,4,15
9,11,9
12,19,10
18,10,7
9,3,5
10,19,17
12,11,6
10,11,13
25,3,14
23,3,21
25,11,18
26,7,15
27,3,13
27,6,18
19,9,10
16,13,20
10,8,7
16,5,16
26,8,16
17,1,14
9,4,6
3,12,12
25,4,15
28,11,14
26,11,21
18,14,13
29,7,12
27,7,19
19,10,11
25,7,20
19,2,7
12,14,16
10,14,23
22,17,16
2,9,11
3,13,13
28,12,15
28,4,11
26,4,18
21,16,20
10,3,13
12,15,17
18,6,14
10,15,24
12,7,13
10,7,20
21,13,14
3,6,10
18,9,19
19,13,21
19,5,17
21,5,10
22,13,18
3,9,15
3,8,19
2,10,11
18,10,20
21,6,11
12,11,19
18,2,16
14,16,9
21,17,20
5,17,16
21,9,16
12,10,23
6,5,10
2,5,18
6,16,19
4,16,20
22,3,9
14,19,20
23,18,13
24,14,11
7,10,6
5,10,13
21,2,13
12,3,20
8,17,13
14,8,10
5,13,18
6,17,20
8,9,9
21,1,17
4,9,17
23,10,14
30,9,14
9,14,5
7,14,12
2,6,18
5,14,19
8,10,10
16,20,13
16,12,9
14,12,16
16,4,5
14,4,12
23,3,11
8,12,19
25,14,13
23,14,20
16,13,10
10,21,16
16,5,6
16,16,15
7,17,22
8,13,20
19,12,11
25,15,14
8,5,16
25,7,10
14,7,22
12,14,6
10,14,13
23,6,21
29,10,13
27,10,20
8,6,17
21,16,10
16,8,16
19,16,17
14,8,23
8,9,22
12,15,7
18,6,4
26,3,12
12,7,3
10,7,10
18,17,13
26,6,17
18,9,9
19,13,11
25,10,20
19,5,7
22,13,8
25,2,16
27,2,15
29,6,15
10,17,23
16,12,22
3,8,9
16,4,18
1,8,16
19,8,18
18,10,10
25,11,21
26,7,18
18,2,6
3,11,14
25,3,17
12,18,17
21,9,6
12,10,13
10,10,20
12,2,9
10,2,16
24,16,11
22,16,18
14,19,10
3,12,15
14,11,6
21,12,17
3,4,11
21,4,13
12,3,10
22,5,8
18,13,20
12,14,19
18,5,16
6,9,6
22,17,19
19,1,14
10,6,22
2,9,14
8,20,14
28,3,18
18,6,17
7,13,6
14,12,6
14,4,2
18,9,22
5,5,9
12,6,20
21,5,13
7,16,11
5,16,18
8,12,9
6,12,16
8,4,5
16,15,10
6,4,12
14,15,17
23,14,10
8,16,16
23,13,14
14,18,22
9,17,5
7,17,12
5,17,19
8,13,10
7,9,8
5,9,15
8,5,6
6,5,13
4,5,14
14,7,12
16,19,16
9,18,6
14,11,19
23,6,11
7,10,9
23,17,20
25,9,9
23,9,16
8,11,22
16,8,6
14,8,13
27,13,15
26,14,11
8,8,16
25,10,10
16,11,17
23,10,17
23,2,13
10,17,13
16,14,22
10,9,9
9,5,8
16,4,8
19,8,8
27,5,16
27,8,21
8,12,22
12,18,7
14,3,19
8,4,18
16,15,23
19,11,13
10,10,10
16,7,19
10,2,6
18,12,9
10,21,19
9,6,9
25,13,20
10,13,15
22,16,8
25,5,16
29,9,15
21,12,7
19,12,14
28,10,11
18,13,10
26,2,14
18,5,6
25,6,17
18,16,15
12,13,13
25,9,22
10,5,16
12,16,18
2,11,13
3,15,15
14,14,6
3,7,11
21,15,17
19,7,20
12,6,10
12,17,19
18,8,16
23,16,10
12,9,15
10,9,22
2,12,14
14,15,7
22,12,15
3,8,12
18,11,21
21,8,14
19,8,21
14,18,12
3,11,17
6,15,17
24,13,9
18,1,13
12,2,12
18,12,22
24,16,14
18,4,18
14,11,9
4,15,17
21,4,16
23,17,10
8,19,16
14,10,13
8,11,12
6,11,19
7,12,8
5,12,15
8,8,6
5,4,11
12,5,22
4,8,14
16,11,7
16,14,12
14,14,19
14,6,15
7,13,9
7,5,5
23,12,16
5,5,12
9,16,7
23,4,12
7,16,14
25,16,16
27,8,11
14,3,9
8,4,8
16,15,13
16,7,9
25,13,10
23,13,17
23,5,13
8,15,23
8,7,19
10,20,13
27,9,12
10,12,9
9,8,8
27,11,21
19,14,13
26,13,13
25,9,12
16,10,19
10,5,6
16,2,15
18,15,9
12,16,8
10,16,15
23,8,23
18,19,16
19,15,14
27,4,18
19,7,10
16,11,20
16,3,16
12,17,9
18,8,6
26,5,14
12,9,5
3,10,12
10,9,12
25,1,13
28,9,14
18,11,11
27,5,19
19,8,11
10,8,16
21,19,13
12,20,20
19,11,16
21,18,17
19,10,20
18,12,12
26,1,16
18,4,8
3,14,18
25,5,19
12,12,15
10,12,22
12,4,11
22,15,15
10,4,18
21,11,14
6,11,9
21,3,10
19,3,17
22,18,20
21,14,19
12,13,16
12,5,12
10,5,19
2,8,11
18,15,22
12,16,21
18,7,18
2,11,16
14,14,9
21,15,20
14,6,5
21,7,16
6,3,10
8,14,12
28,5,20
23,16,13
18,8,19
18,0,15
5,15,15
18,11,24
5,7,11
12,8,22
16,6,3
8,15,13
6,15,20
8,7,9
4,14,19
16,17,12
14,17,19
24,14,20
8,18,18
14,9,15
20,13,7
7,8,5
5,8,12
27,11,11
5,11,17
23,11,19
4,15,20
16,18,13
16,10,9
14,10,16
16,2,5
14,2,12
23,8,13
8,10,19
27,12,12
25,12,13
7,4,7
12,19,9
19,18,9
10,19,16
16,3,6
10,11,12
8,3,16
16,13,19
23,12,19
10,8,6
1,13,14
23,4,15
14,5,22
26,8,15
9,4,5
25,4,14
7,15,21
18,14,12
27,7,18
19,10,10
25,7,19
29,7,11
19,2,6
16,6,16
1,6,11
10,20,16
12,12,5
10,12,12
16,9,21
28,12,14
10,4,8
26,12,21
29,8,12
26,4,17
25,8,20
19,3,7
18,18,18
21,14,9
